Date,Name,Category,Owner,Amount
2026-01-12,K-market Ruoholahti HELSINKI,Groceries,Shared,-10.72
2026-01-12,FUJI BIYORI HELSINKI,Dining Out,Shared,-46.30
2026-01-12,FUJI BIYORI HELSINKI,Dining Out,Shared,-46.30
2026-01-12,ELISA OYJ,Utilities,Shared,-34.19
2026-01-13,K-CITYMARKET HELSIN HELSINKI,Groceries,Shared,-137.78
2026-01-13,Zettle_*Belle Bague HELSINKI,Personal Care,Shared,-17.40
2026-01-13,ALKO HELSINKI RUOHO HELSINKI,Groceries,Shared,-14.99
2026-01-13,LIDLHELSINKIJATKASA HELSINKI,Groceries,Shared,-71.12
2026-01-14,VERKKOKAUPPA.COM,Shopping,Shared,-1078.99
2026-01-15,Espresso House 1201 Helsinki,Dining Out,Shared,-17.80
2026-01-15,K-SUPERMARKET KAMPP HELSINKI,Groceries,Shared,-2.63
2026-01-15,MUJI KAMPPI Helsinki,Shopping,Shared,-47.75
2026-01-15,CLAS OHLSON 57 HELSINKI,Shopping,Shared,-9.99
2026-01-15,KICKS 784 KAMPPI HELSINKI,Personal Care,Shared,-12.90
2026-01-16,Wolt Helsinki,Dining Out,Shared,-39.89
2026-01-16,ALKO HELSINKI RUOHO HELSINKI,Groceries,Shared,-30.30
2026-01-16,TOKMANNI RUOHOLAHTI HELSINKI,Shopping,Shared,-14.27
2026-01-19,Joe THE JUICE FINL Helsinki,Dining Out,Shared,-19.40
2026-01-19,K-supermarket Tapio ESPOO,Groceries,Shared,-8.86
2026-01-19,RUOHONJUURI AIN Espoo,Groceries,Shared,-28.95
2026-01-19,VFI*CAN NING OY HELSINKI,Dining Out,Shared,-15.80
2026-01-19,HAPPY SUNSHINE OY HELSINKI,Dining Out,Shared,-22.70
2026-01-19,Woolshed Helsinki,Dining Out,Shared,-21.40
2026-01-19,Wolt Helsinki,Dining Out,Shared,-44.31
2026-01-19,Woolshed Helsinki,Dining Out,Shared,-16.40
2026-01-19,Woolshed Helsinki,Dining Out,Shared,-17.90
2026-01-19,EKRON SIVAN - My transfer,Other,Shared,+590.00
2026-01-21,K-market Jatkasaari Helsinki,Groceries,Shared,-10.73
2026-01-21,Espresso house 1288 Helsinki,Dining Out,Shared,-5.90
2026-01-21,VERKKOKAUPPA.COM MY HELSINKI,Shopping,Shared,-35.99
2026-01-22,Embassy of Israel - Sivan Ekron & Eden Alon,Misc,Shared,-20.00
2026-01-22,APPLE.COM/BILL ITUNES.COM,Subscriptions,Shared,-4.99
2026-01-22,K-CITYMARKET HELSIN HELSINKI,Groceries,Shared,-17.88
2026-01-22,SYNSAM RUOHIS 1 Helsinki,Health,Shared,-84.45
2026-01-22,LIDLHELSINKIJATKASA HELSINKI,Groceries,Shared,-89.06
2026-01-23,ALON EDEN - Eden Salary,Salary,Shared,+3400.00
2026-01-23,VISMA PAYMENTS OY - TaxIdNb 3131824-9,Misc,Shared,-139.00
2026-01-26,ALIEXPRESSCOM Luxembourg,Shopping,Shared,-69.42
2026-01-26,Radisson Collection Tallinn,Travel,Shared,-136.00
2026-01-26,Espresso House 1284 Helsinki,Dining Out,Shared,-4.90
2026-01-26,MUJI KAMPPI Helsinki,Shopping,Shared,-27.90
2026-01-26,Tallink Tickets FI Helsinki,Travel,Shared,-145.60
2026-01-26,HELSINKI KAMPI CENT HELSIKINI,Shopping,Shared,-46.98
2026-01-26,K-market Ruoholahti HELSINKI,Groceries,Shared,-2.29
2026-01-26,K-market Ruoholahti HELSINKI,Groceries,Shared,-12.78
2026-01-26,notino.fi Stuttgart,Personal Care,Shared,-77.77
2026-01-26,K-market Ruoholahti HELSINKI,Groceries,Shared,-33.58
2026-01-26,HSL MOBIILI HSL,Transport,Shared,-73.90
2026-01-26,Woolshed Helsinki,Dining Out,Shared,-13.20
2026-01-26,Woolshed Helsinki,Dining Out,Shared,-47.70
2026-01-27,K-market Ruoholahti HELSINKI,Groceries,Shared,-5.52
2026-01-27,Zettle_*Belle Bague HELSINKI,Personal Care,Shared,-4.70
2026-01-27,Zettle_*Belle Bague HELSINKI,Personal Care,Shared,-13.40
2026-01-28,Helen Oy,Utilities,Shared,-38.06
2026-01-28,K-SUPERMARKET KAMPP HELSINKI,Groceries,Shared,-20.05
2026-01-28,ZETTLE_*ANDANTE SPE HELSINKI,Dining Out,Shared,-11.60
2026-01-29,COMEDY SHOW LONDON,Entertainment,Shared,-60.00
2026-01-29,K-SUPERMARKET KAMPP HELSINKI,Groceries,Shared,-49.78
2026-01-29,LIDLHELSINKIGRANIIT HELSINKI,Groceries,Shared,-74.81
2026-01-30,Global-e/SHEATHUNDE Amsterdam,Shopping,Shared,-66.48
2026-01-30,Espresso House 1201 Helsinki,Dining Out,Shared,-12.90
2026-01-30,SYNSAM RUOHIS 1 Helsinki,Health,Shared,-84.37
2026-01-30,VFI*MOON FINLAND OY HELSINKI,Dining Out,Shared,-15.90
2026-01-30,VFI*ZHAO JA LIU INV HELSINKI,Dining Out,Shared,-11.90
2026-02-02,Kim Lindholm - Rent,Housing,Shared,-1858.00
2026-02-02,Wolt Helsinki,Dining Out,Shared,-13.26
2026-02-02,Nefer Nefer Nefer Helsinki,Personal Care,Shared,-95.00
2026-02-02,Esters Grocery Helsinki,Groceries,Shared,-40.00
2026-02-02,Tempur Store Kamppi Helsinki,Shopping,Shared,-174.00
2026-02-02,aliexpress London,Shopping,Shared,-15.30
2026-02-03,Wolt Helsinki,Dining Out,Shared,-7.99
2026-02-03,Tallink Tickets FI Helsinki,Travel,Shared,-10.00
2026-02-03,Wolt Oy Finland,Dining Out,Shared,-16.38
2026-02-03,W-Restaurants Oy Le HELSINKI,Misc,Shared,-9.20
2026-02-03,K-CITYMARKET HELSIN HELSINKI,Groceries,Shared,-25.14
2026-02-03,ROSEBUD BOOKS O Helsinki,Shopping,Shared,-27.50
2026-02-03,TOKMANNI RUOHOLAHTI HELSINKI,Shopping,Shared,-17.35
2026-02-04,K-CITYMARKET HELSIN HELSINKI,Groceries,Shared,-15.80
2026-02-04,NORMAL HELSINKI RUO HELSINKI,Personal Care,Shared,-19.20
2026-02-05,K-SUPERMARKET KAMPP HELSINKI,Groceries,Shared,-8.12
2026-02-05,LIDLHELSINKIGRANIIT HELSINKI,Groceries,Shared,-116.59
2026-02-06,Wolt Oy Finland,Dining Out,Shared,-38.15
2026-02-06,WOLT HELSINKI,Dining Out,Shared,-17.33
2026-02-06,TOKMANNI RUOHOLAHTI HELSINKI,Shopping,Shared,-12.96
2026-02-06,K-market Ruoholahti HELSINKI,Groceries,Shared,-4.87
2026-02-06,NORMAL HELSINKI RUO HELSINKI,Personal Care,Shared,-14.30
2026-02-09,Pohjola Vakuutus Oy,Insurance,Shared,-43.73
2026-02-09,K-CITYMARKET HELSIN HELSINKI,Groceries,Shared,-29.97
2026-02-09,LUFTHANSA 8MONQZ PAYPAL COM,Travel,Shared,-820.00
2026-02-09,"RESTORAN OLDE HANSA HARJUMAA, TA",Dining Out,Shared,-43.60
2026-02-09,Netflix.com Los Gatos,Subscriptions,Shared,-19.67
2026-02-09,"KANUTI RAMEN BAAR HARJUMAA, TA",Dining Out,Shared,-33.50
2026-02-09,LEVAIN PAGAR TALLINN,Dining Out,Shared,-14.00
2026-02-09,RADISSON COLLECTION TALLINN,Travel,Shared,-135.20
2026-02-09,PUU JA PUTUKA POOD TALLINN,Shopping,Shared,-10.00
2026-02-09,NIHE KOHVIK TALLINN,Misc,Shared,-8.00
2026-02-09,FOTOGRAFISKA MUUSEU TALLINN,Entertainment,Shared,-34.00
2026-02-09,"MEGASTAR HARJUMAA, TA",Travel,Shared,-9.60
2026-02-09,"MEGASTAR HARJUMAA, TA",Travel,Shared,-9.55
2026-02-09,POHJA KONN TALLINN,Dining Out,Shared,-11.80
2026-02-09,Burger King/Megasta TALLINN,Dining Out,Shared,-14.60
2026-02-09,PIZZER TALLINN,Dining Out,Shared,-13.50
2026-02-09,"MEGASTAR HARJUMAA, TA",Travel,Shared,-312.25
2026-02-10,IIL.PILET.EE TALLINN,Travel,Shared,-2.00
2026-02-10,IIL.PILET.EE TALLINN,Travel,Shared,-2.00
2026-02-10,RUOHOLAHDEN APT HELSINKI,Dining Out,Shared,-20.50
2026-02-10,TOKMANNI RUOHOLAHTI HELSINKI,Shopping,Shared,-3.79
